"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"265",NA,"Best, Netherlands",65.13,28.11,47.78,59.33,NA,97.21
"266",NA,"Toledo, OH, United States",64.99,22.91,45.26,64.78,63.45,90.45
"267",NA,"Salt Lake City, UT, United States",64.95,42.34,54.35,61.4,65.68,140.61
"268",NA,"Oklahoma City, OK, United States",64.94,31.83,49.42,69.97,57.78,127.95
"269",NA,"Padova, Italy",64.93,22.03,44.82,52.16,NA,66.62
"270",NA,"Leicester, United Kingdom",64.91,24.93,46.17,52.47,72.19,92.59
"271",NA,"Freiburg im Breisgau, Germany",64.65,35.49,50.98,50.02,62.73,94.46
"272",NA,"Erlangen, Germany",64.54,24.83,45.93,NA,67.89,131.75
"273",NA,"Nicosia, Cyprus",NA,19.34,43.35,52.57,65.96,60.28
"274",NA,"Cincinnati, OH, United States",64.39,39.74,52.83,64.25,63.76,125.17
"275",NA,"Tucson, AZ, United States",64.34,27.66,47.15,61.91,65.88,83.69
"276",NA,"Dubai, United Arab Emirates",64.32,44.08,54.83,48.24,70.7,101.11
"277",NA,"Houston, TX, United States",63.94,43.38,NA,61.26,67.45,172.98
"278",NA,"Bilbao, Spain",63.81,26.88,46.5,57.84,NA,65.48
"279",NA,"Bournemouth, United Kingdom",63.73,32.77,49.21,NA,68.9,76.52
"280",NA,"Mesa, AZ, United States",63.66,32.99,49.28,63.2,72.07,103.42
"281",NA,"Essen, Germany",63.61,20.98,43.63,47.32,65.81,81.89
"282",NA,"Albuquerque, NM, United States",63.44,NA,NA,64.6,64.07,122.44
"283",NA,"Aberdeen, United Kingdom",63.4,23.06,44.49,NA,77.47,102.02
"284",NA,"Lexington, KY, United States",62.92,29.27,NA,69.21,55.65,102.4
"285",NA,"Doha, Qatar",62.9,49.19,56.48,NA,63,NA
"286",NA,"Leipzig, Germany",62.83,23.29,44.3,47.91,55.86,79.8
"287",NA,"San Antonio, TX, United States",62.59,38.27,51.19,NA,69.45,NA
"288",NA,"Bari, Italy",62.59,18.14,NA,53.28,65.58,64.98
"289",NA,"Dresden, Germany",62.46,21.21,43.12,47.74,58.64,109.14
